song,artist,username,total_plays,time_since_play,avg_play_hour,avg_play_day,total_weekend_plays,total_artist_plays,artist_distinct_songs,artist_max_song_count,artist_max_song_percent,percent_of_artist_play,song_rank,artist_rank
Charlene,Anthony Hamilton,COKUNUBI,1,4083,13.0,1.0,0,4,4,1,0.25,0.25,4087,369.0
Cool,Anthony Hamilton,COKUNUBI,1,3843,13.0,1.0,0,4,4,1,0.25,0.25,4088,369.0
"Cornbread, Fish & Collard Greens",Anthony Hamilton,COKUNUBI,1,4563,13.0,1.0,0,4,4,1,0.25,0.25,4089,369.0
Best of My Love,The Emotions,COKUNUBI,2,76443,14.0,5.5,2,2,1,2,1.0,1.0,1536,560.0
Bestemor,Paul Todnem,COKUNUBI,7,70263,15.0,2.142857142857143,1,7,1,7,1.0,1.0,403,252.0
Better In Color,Lizzo,COKUNUBI,1,6123,12.0,0.0,0,32,19,4,0.125,0.03125,4090,82.0
Boys,Lizzo,COKUNUBI,4,42003,7.25,2.5,2,32,19,4,0.125,0.125,692,82.0
Coconut Oil,Lizzo,COKUNUBI,1,5043,13.0,0.0,0,32,19,4,0.125,0.03125,4091,82.0
Cuz I Love You,Lizzo,COKUNUBI,1,4803,13.0,0.0,0,32,19,4,0.125,0.03125,4092,82.0
Exactly How I Feel (feat. Gucci Mane),Lizzo,COKUNUBI,1,5403,13.0,0.0,0,32,19,4,0.125,0.03125,4093,82.0
Fitness,Lizzo,COKUNUBI,2,41283,7.5,2.5,1,32,19,4,0.125,0.0625,1506,82.0
Good As Hell,Lizzo,COKUNUBI,3,42363,9.0,1.6666666666666667,1,32,19,4,0.125,0.09375,1113,82.0
Heaven Help Me,Lizzo,COKUNUBI,1,4623,13.0,0.0,0,32,19,4,0.125,0.03125,4094,82.0
Juice,Lizzo,COKUNUBI,3,42603,9.0,1.6666666666666667,1,32,19,4,0.125,0.09375,1112,82.0
Let 'em Say,Lizzo,COKUNUBI,1,5943,12.0,0.0,0,32,19,4,0.125,0.03125,4095,82.0
Like a Girl,Lizzo,COKUNUBI,1,5583,12.0,0.0,0,32,19,4,0.125,0.03125,4096,82.0
Phone,Lizzo,COKUNUBI,1,70743,18.0,2.0,0,32,19,4,0.125,0.03125,4097,82.0
Scuse Me,Lizzo,COKUNUBI,2,41103,7.5,2.5,1,32,19,4,0.125,0.0625,1492,82.0
Soulmate,Lizzo,COKUNUBI,2,41643,7.0,2.5,1,32,19,4,0.125,0.0625,1494,82.0
Stayin' Alive (from Happy Death Day 2U),Lizzo,COKUNUBI,1,5283,13.0,0.0,0,32,19,4,0.125,0.03125,4098,82.0
Tempo (feat. Missy Elliott),Lizzo,COKUNUBI,1,6303,12.0,0.0,0,32,19,4,0.125,0.03125,4099,82.0
Truth Hurts,Lizzo,COKUNUBI,2,7863,12.5,0.0,0,32,19,4,0.125,0.0625,1508,82.0
Water Me,Lizzo,COKUNUBI,2,41463,7.5,2.5,1,32,19,4,0.125,0.0625,1530,82.0
Worship,Lizzo,COKUNUBI,2,70923,15.0,1.0,0,32,19,4,0.125,0.0625,1533,82.0
Better Than You,New York Dolls,rosiedempsey93,1,72348,18.0,2.0,0,2,2,1,0.5,0.5,1531,348.0
Trash,New York Dolls,rosiedempsey93,1,57048,22.0,0.0,0,2,2,1,0.5,0.5,1532,348.0
Better Together,Jack Johnson,COKUNUBI,1,26823,7.0,5.0,1,2,2,1,0.5,0.5,4100,560.0
Do You Remember,Jack Johnson,COKUNUBI,1,27963,6.0,5.0,1,2,2,1,0.5,0.5,4132,560.0
Between Moments,Rand Aldo,COKUNUBI,1,31443,5.0,6.0,1,11,5,6,0.5454545454545454,0.09090909090909091,4103,175.0
Desert Parade,Rand Aldo,COKUNUBI,6,69843,16.666666666666668,2.1666666666666665,1,11,5,6,0.5454545454545454,0.5454545454545454,507,175.0
Mistranslations,Rand Aldo,COKUNUBI,2,61623,16.0,1.5,0,11,5,6,0.5454545454545454,0.18181818181818182,1513,175.0
Tell Me And I'll Forget,Rand Aldo,COKUNUBI,1,30123,6.0,6.0,1,11,5,6,0.5454545454545454,0.09090909090909091,4133,175.0
Thinking Like the Flowers,Rand Aldo,COKUNUBI,1,33903,5.0,6.0,1,11,5,6,0.5454545454545454,0.09090909090909091,4164,175.0
Beware,Big Punisher,COKUNUBI,1,67203,19.0,0.0,0,2,2,1,0.5,0.5,4166,560.0
I'm Not A Player,Big Punisher,COKUNUBI,1,70803,18.0,0.0,0,2,2,1,0.5,0.5,4167,560.0
Beware of the Stare,Ghostface Killah,COKUNUBI,2,81483,9.0,5.0,2,15,5,5,0.3333333333333333,0.13333333333333333,1517,145.0
Buckingham Palace,Ghostface Killah,COKUNUBI,3,82803,12.0,1.3333333333333333,0,15,5,5,0.3333333333333333,0.2,1061,145.0
Fish (Feat. Raekwon & Cappadonna),Ghostface Killah,COKUNUBI,2,83583,16.0,1.5,0,15,5,5,0.3333333333333333,0.13333333333333333,1666,145.0
Get The Money,Ghostface Killah,COKUNUBI,5,77643,9.6,4.0,2,15,5,5,0.3333333333333333,0.3333333333333333,532,145.0
Life's A Rebirth,Ghostface Killah,COKUNUBI,3,7083,12.333333333333334,2.3333333333333335,0,15,5,5,0.3333333333333333,0.2,1056,145.0
Bewitched,Beat Happening,rosiedempsey93,7,79668,13.428571428571429,2.4285714285714284,1,7,1,7,1.0,1.0,138,168.0
Beyond Barricades,Claes Nilsson,COKUNUBI,1,32403,5.0,6.0,1,1,1,1,1.0,1.0,4168,807.0
Bhajan: IV. Bhajan,Nicholas Chase,COKUNUBI,1,13503,10.0,2.0,0,1,1,1,1.0,1.0,4169,807.0
Biesy,hania rani,COKUNUBI,2,66843,16.0,1.0,0,22,10,5,0.22727272727272727,0.09090909090909091,1673,98.0
Eden,hania rani,COKUNUBI,4,72543,13.5,1.25,0,22,10,5,0.22727272727272727,0.18181818181818182,799,98.0
Glass,hania rani,COKUNUBI,5,72243,16.2,1.4,0,22,10,5,0.22727272727272727,0.22727272727272727,560,98.0
Luka,hania rani,COKUNUBI,1,66603,20.0,1.0,0,22,10,5,0.22727272727272727,0.045454545454545456,4170,98.0
"Now, Run",hania rani,COKUNUBI,1,66303,20.0,1.0,0,22,10,5,0.22727272727272727,0.045454545454545456,4171,98.0
Pour Trois,hania rani,COKUNUBI,2,67023,16.0,1.0,0,22,10,5,0.22727272727272727,0.09090909090909091,1663,98.0
Sun,hania rani,COKUNUBI,2,67383,19.5,1.0,0,22,10,5,0.22727272727272727,0.09090909090909091,1662,98.0
esja,hania rani,COKUNUBI,2,72003,15.5,1.0,0,22,10,5,0.22727272727272727,0.09090909090909091,1661,98.0
hawaii oslo,hania rani,COKUNUBI,2,67623,19.5,1.0,0,22,10,5,0.22727272727272727,0.09090909090909091,1648,98.0
today it came,hania rani,COKUNUBI,1,65883,20.0,1.0,0,22,10,5,0.22727272727272727,0.045454545454545456,4172,98.0
Big,New Fast Automatic Daffodils,rosiedempsey93,4,22428,10.25,2.5,0,4,1,4,1.0,1.0,421,255.0
Big Bang Baby,Stone Temple Pilots,rosiedempsey93,6,83088,13.833333333333334,3.3333333333333335,1,70,6,28,0.4,0.08571428571428572,220,10.0
Creep,Stone Temple Pilots,rosiedempsey93,1,78648,16.0,2.0,0,70,6,28,0.4,0.014285714285714285,1538,10.0
Interstate Love Song,Stone Temple Pilots,rosiedempsey93,12,84948,15.0,2.3333333333333335,2,70,6,28,0.4,0.17142857142857143,50,10.0
Plush,Stone Temple Pilots,rosiedempsey93,14,78348,12.714285714285714,2.9285714285714284,1,70,6,28,0.4,0.2,31,10.0
Sour Girl,Stone Temple Pilots,rosiedempsey93,28,82800,12.392857142857142,2.5714285714285716,4,70,6,28,0.4,0.4,7,10.0
Vasoline,Stone Temple Pilots,rosiedempsey93,9,83028,13.222222222222221,3.111111111111111,2,70,6,28,0.4,0.12857142857142856,86,10.0
Big For Your Boots,Stormzy,COKUNUBI,1,963,14.0,3.0,0,12,6,4,0.3333333333333333,0.08333333333333333,4173,166.0
"Blinded By Your Grace, Pt. 2 (feat. MNEK)",Stormzy,COKUNUBI,1,36183,4.0,6.0,1,12,6,4,0.3333333333333333,0.08333333333333333,4174,166.0
Cold,Stormzy,COKUNUBI,2,84003,11.5,2.5,0,12,6,4,0.3333333333333333,0.16666666666666666,1696,166.0
Crown,Stormzy,COKUNUBI,2,70683,18.5,1.0,0,12,6,4,0.3333333333333333,0.16666666666666666,1697,166.0
Shut Up,Stormzy,COKUNUBI,2,83823,17.5,4.5,1,12,6,4,0.3333333333333333,0.16666666666666666,1698,166.0
Vossi Bop,Stormzy,COKUNUBI,4,70863,15.5,1.25,0,12,6,4,0.3333333333333333,0.3333333333333333,768,166.0
Big Me,Foo Fighters,rosiedempsey93,2,49968,0.5,5.5,2,22,5,9,0.4090909090909091,0.09090909090909091,873,57.0
Everlong,Foo Fighters,rosiedempsey93,9,82428,12.666666666666666,2.6666666666666665,1,22,5,9,0.4090909090909091,0.4090909090909091,80,57.0
I'll Stick Around,Foo Fighters,rosiedempsey93,1,22548,8.0,1.0,0,22,5,9,0.4090909090909091,0.045454545454545456,1539,57.0
Low,Foo Fighters,rosiedempsey93,3,15648,11.666666666666666,2.3333333333333335,0,22,5,9,0.4090909090909091,0.13636363636363635,584,57.0
White Limo,Foo Fighters,rosiedempsey93,7,85188,13.857142857142858,2.2857142857142856,0,22,5,9,0.4090909090909091,0.3181818181818182,126,57.0
Big Ole Freak,Megan Thee Stallion,COKUNUBI,1,75303,17.0,4.0,0,2,2,1,0.5,0.5,4175,560.0
Freak Nasty,Megan Thee Stallion,COKUNUBI,1,75003,17.0,4.0,0,2,2,1,0.5,0.5,4176,560.0
Big River,Bob Luman,rosiedempsey93,1,51288,0.0,1.0,0,2,2,1,0.5,0.5,1540,348.0
I Still Miss Someone,Bob Luman,rosiedempsey93,1,65328,20.0,0.0,0,2,2,1,0.5,0.5,1541,348.0
Big in Japan,Guano Apes,COKUNUBI,1,64743,20.0,0.0,0,2,2,1,0.5,0.5,4177,560.0
Open Your Eyes,Guano Apes,COKUNUBI,1,57363,22.0,0.0,0,2,2,1,0.5,0.5,4178,560.0
Bill And Sookie Together,Nathan Barr,COKUNUBI,1,963,14.0,0.0,0,2,2,1,0.5,0.5,4179,560.0
Poker Face,Nathan Barr,COKUNUBI,1,67623,19.0,2.0,0,2,2,1,0.5,0.5,4180,560.0
Bill McCai,The Coral,rosiedempsey93,5,84108,17.6,1.6,0,32,8,6,0.1875,0.15625,348,26.0
Don't Think You're the First,The Coral,rosiedempsey93,2,14868,10.0,3.0,0,32,8,6,0.1875,0.0625,833,26.0
